Model,Difficulty,Max_Turns,Win,Turns_Taken,Duration,Examples_Shown
claude-3-haiku-20240307,L1,1,0.0,1.0,10.35,4.0
claude-3-haiku-20240307,L1,3,0.0,3.0,13.25,8.0
claude-3-haiku-20240307,L1,5,0.0,5.0,7.95,12.0
claude-3-haiku-20240307,L1,7,0.0,7.0,11.81,16.0
gemini-1.5-flash,L1,1,0.0,1.0,10.07,4.0
gemini-1.5-flash,L1,3,0.0,3.0,12.2,8.0
gemini-1.5-flash,L1,5,0.0,4.4,16.52,10.8
gemini-1.5-flash,L1,7,0.0,6.0,20.97,14.0
gpt-4o,L1,1,0.0,1.0,13.04,4.0
gpt-4o,L1,3,0.0,2.6,137.33,7.2
gpt-4o,L1,5,0.0,4.2,14.56,10.4
gpt-4o,L1,7,0.0,7.0,132.7,16.0
gpt-4o-mini,L1,1,0.0,1.0,7.79,4.0
gpt-4o-mini,L1,3,0.0,3.0,12.05,8.0
gpt-4o-mini,L1,5,0.0,4.4,149.61,10.8
gpt-4o-mini,L1,7,0.0,5.8,39.98,13.6
